code;first_letter
15054;A0A0
15061;A0A0A0
15070;A0A0A0A0
15031;A0A0A1
15043;A0A0A2
15081;A0A0A3
15062;A0A0A3A0
15059;A0A0A4
15058;A0A0A5
15066;A0A0A6
15075;A0A0A6A0
15067;A0A0A6A1
15098;A0A0A6A2
15096;A0A0A6A3
15020;A0A0A6A4
15097;A0A0A6A5
15068;A0A0A6A6
15078;A0A0A6A7
15036;A0A0A6A8
15069;A0A0A6A9
15089;A0A0A6B0
15099;A0A0A6B1
15079;A0A0A6B2
15091;A0A0A7
15041;A0A0A8
15030;A0A0A8A0
15040;A0A0A8A1
15050;A0A0A8A2
15051;A0A0A8A2A0
15052;A0A0A8A2A0A0
15084;A0A0A9
15073;A0A0B0
15094;A0A0B0A0
15093;A0A0B0A1
15048;A0A0B1
15064;A0A0B2
15034;A0A0B3
15004;A0A0B3A0
15044;A0A0B3A1
15007;A0A0B3A2
15011;A0A0B3A3
15021;A0A0B3A3A0
15018;A0A0B3A3A1
15001;A0A0B3A3A2
15010;A0A0B3A3A3
15000;A0A0B3A3A4
15012;A0A0B3A4
15003;A0A0B3A4A0
15002;A0A0B3A4A1
15005;A0A0B3A5
15013;A0A0B3A6
15006;A0A0B3A7
15038;A0A0B4
15029;A0A0B4A0
15008;A0A0B4A1
15019;A0A0B4A2
15009;A0A0B4A3
15039;A0A0B4A4
15017;A0A0B4A5
15015;A0A0B4A6
44554;A0A1
44590;A0A1A0
44591;A0A1A0A0
44595;A0A1A0A1
44569;A0A1A0A1A0
44588;A0A1A0A2
44557;A0A1A1
44579;A0A1A1A0
44529;A0A1A1A1
44517;A0A1A1A2
44589;A0A1A1A3
44539;A0A1A1A4
44586;A0A1A1A5
44583;A0A1A1A5A0
44564;A0A1A1A5A0A0
44577;A0A1A1A5A1
44587;A0A1A1A5A2
44559;A0A1A1A6
44538;A0A1A1A6A0
44548;A0A1A1A6A1
44549;A0A1A1A6A2
44547;A0A1A1A6A2A0
44528;A0A1A1A6A3
44508;A0A1A1A6A3A0
44536;A0A1A1A7
44542;A0A1A2
44534;A0A1A2A0
44515;A0A1A2A0A0
44514;A0A1A2A1
44562;A0A1A2A2
44571;A0A1A2A2A0
44570;A0A1A2A2A0A0
44560;A0A1A2A2A0A1
44580;A0A1A2A2A0A2
44575;A0A1A2A2A1
44593;A0A1A2A2A1A0
44596;A0A1A2A2A1A1
44573;A0A1A2A2A2
44582;A0A1A2A2A2A0
44584;A0A1A2A2A2A1
44513;A0A1A2A3
44521;A0A1A2A4
44501;A0A1A2A4A0
44510;A0A1A2A4A1
44502;A0A1A2A4A2
44540;A0A1A2A5
44530;A0A1A3
13254;B0A0
13207;B0A0A0
13231;B0A0A1
13267;B0A0A2
13269;B0A0A2A0
13258;B0A0A2A1
13287;B0A0A2A2
13299;B0A0A2A2A0
13246;B0A0A2A2A1
13298;B0A0A2A2A2
13268;B0A0A2A3
13278;B0A0A2A4
13277;B0A0A2A5
13279;B0A0A3
13274;B0A0A4
13261;B0A0A4A0
13272;B0A0A4A0A0
13291;B0A0A4A0A0A0
13270;B0A0A4A0A0A1
13292;B0A0A4A0A0A2
13280;B0A0A4A0A0A3
13262;B0A0A4A0A1
13250;B0A0A4A0A1A0
13288;B0A0A4A0A1A1
13281;B0A0A4A0A1A1A0
13271;B0A0A4A0A1A1A1
13251;B0A0A4A0A1A1A2
13273;B0A0A4A0A1A1A3
13252;B0A0A4A0A1A2
13260;B0A0A4A0A1A3
13285;B0A0A4A1
13256;B0A0A4A1A0
13295;B0A0A4A1A1
13296;B0A0A4A1A2
13286;B0A0A4A2
13297;B0A0A4A2A0
13266;B0A0A4A3
13219;B0A0A4A4
13276;B0A0A4A5
13253;B0A0A4A6
13243;B0A0A4A6A0
